Strain,Type,Rating,Effects,Flavor,Description,Strain,Medical,Cost
Cherry-Ak-47,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Focused","Sweet,Berry,Earthy","This marijuana strain is a rare cherry phenotype of AK-47. With its reddish-purple characteristics and cherry aroma, it's no wonder how Cherry AK-47 got its name. The buds have gold coloring with lime-green leaves layered with trichome heads. This strain's flavors are described as smooth cherry with a creamy sandalwood aftertaste. With a THC level of up to 16% and a CBD level of 0.5%, Cherry AK-47 'creeps' up from a cerebral effect to a complete body sensation.",Cherry-Ak-47,"Stress,Depression,Insomnia,Fatigue",
Cherry-Cookies,hybrid,4.6,"Uplifted,Euphoric,Relaxed,Focused","Sweet,Berry,Pungent","Cherry Cookies is one of the most popular Girl Scout Cookie crosses to date, ranking next to Pink Cookies and Thin Mint Girl Scout Cookies. With similar genetic parentage, Cherry Cookies derives from the blending of Cherry Pie (aka Cherry Kush) and Cookies F2. This cross preserves the tight, slightly purple buds and deep orange pistils while accentuating the cherry tang and tartness on the nose and exhale. This strain behaves like a GSC, offering a medical-grade sedation on the body with an alert mental state.",Cherry-Cookies,"Depression,Headaches,Lack of Appetite",
Cherry-Pie,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Focused","Sweet,Berry,Earthy","Cherry Pie's parents are Granddaddy Purple and Durban Poison. With buds that are dense and full of orange hairs and a touch of purple, this strain smells of sweet and sour cherry pie. The effects have been known to come on in minutes and stick around for a couple hours. ",Cherry-Pie,"Stress,Depression,Lack of Appetite,Insomnia",
Cookie-Wreck,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Focused","Sweet,Earthy,Pungent","Cookie Wreck, also called Cookie Trainwreck, is a hybrid cross between Girl Scout Cookies and Trainwreck bred by CannaVenture Seeds. A subtle cookie-like aroma radiates from its dense buds, but more distinct fruity flavors come out on the exhale. This hybrid’s potency is enough to make both parents proud as its cerebral euphoria and full-body effects hit like a freight train. ",Cookie-Wreck,"Stress,Muscle Spasms,Depression,Nausea",
Cotton-Candy-Kush,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Energetic","Sweet,Berry,Flowery","Named for its soft, fluffy appearance and intense candied aroma, Cotton Candy Kush is a hybrid that crosses Lavender with Power Plant. The result is a pungent palate of sweet, berry flavors and a floral scent. The euphoric effects will have you feeling like a kid in a candy store, while the relaxing powers will keep stress and pain to a minimum.",Cotton-Candy-Kush,"Stress,Depression,Lack of Appetite,Headache",
Deadhead-Og,hybrid,4.4,"Uplifted,Relaxed,Euphoric,Creative","Earthy,Pine,Diesel","A modern West Coast classic, Deadhead OG was created by master breeder Skunk VA of Cali Connection Seeds by crossing two already legendary strains, Chemdawg 91 and the SFV OG Kush.  Known as a very hearty and pungent strain, most phenotypes present an earthy, piney smell and taste, though some can lean more to the diesel aromas of the SFV.  As a cross of two very potent strains, Deadhead OG regularly reaches THC levels over 20%.  Most users describe the high as cerebral and stimulating but with a relaxed body feel.",Deadhead-Og,"Stress,Depression,Nausea,Muscle Spasms",
Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Focused,Euphoric","Sweet,Earthy,Berry","The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea.",Double-Dream,"Stress,Depression,Fatigue,Inflammation",
Dougs-Varin,sativa,5,"Uplifted,Creative,Energetic,Focused",None,"Doug’s Varin is a rare sativa strain that was specially crafted to contain high amounts of the cannabinoid THCV, a psychoactive cannabis compound known to relieve panic attacks, Parkinson’s tremors, stimulate bone growth, and provide a burst of energy. Patient’s suffering from anorexia and appetite loss should steer clear of Doug’s Varin, as THCV also suppresses hunger. With an aroma of earthy pine and sweet citrus, Doug’s Varin delivers a clear-headed burst of mental stimulation that doesn’t last as long as high-THC varieties, making this strain a perfect choice for anyone seeking short-term effects.",Dougs-Varin,"Fatigue,Stress,Depression,Inflammation,Nausea",
Durban-Poison,sativa,4.4,"Energetic,Uplifted,Euphoric,Focused","Earthy,Sweet,Pine","This pure sativa originates from the South African port city of Durban. It has gained notoriety worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.",Durban-Poison,"Depression,Stress,Fatigue,Headaches",
Dutch-Treat,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Focused","Sweet,Pine,Earthy","Over the years, Dutch Treat has become an essential strain of the Amsterdam coffee shops. The dense, sticky buds have an intense smell of sweet fruits mixed with pine and eucalyptus trees. The cerebral high comes on quick and leaves consumers feeling uplifted and euphoric while reducing stress and relaxing the mind.",Dutch-Treat,"Stress,Depression, Insomnia,Fatigue",
