Strain,Type,Rating,Effects,Flavor,Description,Strain,Medical,Cost
Grape-Ape,indica,4.3,"Relaxed,Sleepy,Euphoric,Uplifted","Grape,Sweet,Berry","Grape Ape, propagated by Apothecary Genetics and Barney’s Farm, is a mostly indica strain that crosses Mendocino Purps, Skunk, and Afghani. Named for its distinct grape-like smell, this indica is known for providing carefree relaxation that can help soothe pain, stress, and anxiety. Its dense, compact buds are wreathed in deep purple leaves which darken as this indica reaches full maturation following its 7 to 8 week flowering time.",Grape-Ape,"Stress,Depression,Insomnia,Headaches",
Grapefruit,sativa,4.3,"Uplifted,Energetic,Euphoric,Focused","Grapefruit,Citrus,Sweet","This potent sativa was developed by crossing Cinderella 99 with a fast-flowering sativa selected for its rich grapefruit flavor. The tropical, citrus smell of Grapefruit mixes with energetic effects to give you a happy stress-reliever that also works well for battling migraine headaches.",Grapefruit,"Stress,Depression,Fatigue,Headaches",
Green-Crack,sativa,4.3,"Energetic,Uplifted,Focused,Euphoric","Earthy,Citrus,Sweet","Don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is the perfect daytime medication for patients treating fatigue, stress, and depression.Green Crack has branched into two genetic lineages, the most common of which is its sativa line descended from Skunk #1. The 75% indica variety of Green Crack is said to have come from an Afghani strain, and is marked by a tighter bud structure. Because its name perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.",Green-Crack,"Stress,Depression,Fatigue,Headaches",
Green-Ribbon,hybrid,4.2,"Energetic,Euphoric,Focused,Creative","Sweet,Earthy,Flowery","Green Ribbon is a 50/50 hybrid that tends towards the sativa side when it comes to effects; patients report an energetic, heady feeling when using it. Originating in San Jose, California, this strain includes some Green Crack but the status of the other parent is unknown, with Trainwreck, Afghanica, and White Rhino all contenders. The light green buds have a subtle floral scent and are slightly fruity, lending to an earthy taste. Green Ribbon generally has a high THC content around 18-20%.",Green-Ribbon,"Depression,Stress,Headaches,Muscle Spasms",
Harlequin,sativa,4.3,"Relaxed,Focused,Euphoric,Uplifted,Energetic","Earthy,Sweet,Woody","Harlequin is a 75/25 sativa-dominant strain renowned for its reliable expression of CBD. A descendant of Colombian Gold, a Nepali indica, and Thai and Swiss landrace strains, you can depend on Harlequin to provide clear-headed, alert sativa effects. Unlike most high-CBD strains, Harlequin almost always develops a CBD:THC ratio of 5:2, making this strain one of the most effective out there for treatment of pain and anxiety, as CBD can counteract THC’s paranoia while amplifying its painkilling properties. Flavors can range from earthy musk to sweet mango, but without a doubt, what draws crowds to Harlequin is its ability to relax without sedation and to relieve without intoxication.",Harlequin,"Stress,Depression,Inflammation,Headaches",
Headband,hybrid,4.3,"Relaxed,Uplifted,Euphoric,Creative","Earthy,Diesel,Citrus","Meet Headband, the love-child of cannabis’ power couple, OG Kush and Sour Diesel. The smooth, creamy smoke is accented by flavors of lemons and diesel while the long-lasting effects are great for pain relief, helping you to relax, and to combat elevated stress levels. Many report that the effects create a slight pressure around the crown of their head and feels as though they are wearing a headband. The effects have been known to come on slow, so pace yourself with this potent hybrid. ",Headband,"Stress,Depression,Insomnia,Headaches",
Holy-Grail-Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative","Earthy,Pungent,Woody","Holy Grail Kush is a newer strain created by seed breeders DNA Genetics and Reserva Privada Colorado. It entered into the Seed Company Hybrids category at the 2011 High Times Cannabis Cup. As the offspring of multi-award winners OG #18 and Kosher Kush, it’s no surprise that Holy Grail Kush came out on top and is said to have nabbed the competition’s first-ever perfect score. The plants are easy to grow, with large, dense buds appearing at 9 to 10 weeks. Most of Holy Grail Kush’s praise centers around its potency; THC levels have tested at over 20%, but this hybrid produces a more mellow relaxation than the melt-your-face-off indica sensation the name might suggest. The aroma of this plant is pure kush and has a strong spicy citrus smell, both while growing and once harvested, that is uniquely complex.",Holy-Grail-Kush,"Stress,Depression, Insomnia,Fatigue",
Humboldt-Headband,indica,4.8,"Euphoric,Sleepy,Relaxed,Focused","Sweet,Grape,Diesel","Humboldt Headband is Humboldt Seed’s version of the crowd-pleaser, Headband. Unlike the traditional sativa-dominant Headband, Humboldt breeds in Purple Panty Dropper for its weighty indica genetics, resulting in a euphoric 75% indica-dominant strain that relieves aches and pains. Expect a heady pressure that may resemble the sensation of wearing a headband. As its effects melt into the body, anticipate pleasurable physical relaxation with latent aphrodisiac effects.",Humboldt-Headband,"Stress,Depression,Insomnia,Lack of Appetite, ",
J1,hybrid,4.5,"Euphoric,Creative,Uplifted,Energetic","Citrus,Pine,Sweet","J1, or Jack One, is a high-end hybrid strain that is gaining widespread popularity. Although a hybrid, the high-energy effects categorize the strain more on the sativa end of the scale. J1 is a cross between two famous sativas, Skunk #1 and Jack Herer, and is best known for its strong, uplifting, clear-headed buzz that allows for mobility. The flowers are emerald green and frosty with a sweet aroma resembling the unmistakable Jack Herer pungency. This strain’s seemingly only flaw is the top-shelf price that tends to come with its exceptional quality.",J1,"Stress,Depression,Fatigue,Nausea",
Jack-Herer,sativa,4.4,"Uplifted,Energetic,Focused,Euphoric","Earthy,Pine,Woody","Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, the spicy, pine-scented sativa has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.",Jack-Herer,"Stress,Depression,Fatigue,Lack of Appetite",
Jesus-Og,sativa,4.6,"Uplifted,Euphoric,Energetic,Relaxed","Lemon,Citrus,Earthy","Jesus OG was bred by TGA Subcool Seeds as the not-so-immaculate conception of Hell’s Angel OG and Jack the Ripper (talk about an “unholy” parentage). Jesus OG proves to be a godsend for growers and produces tall plants and heavy yields. Users enjoy the lemony kush aroma of this sativa-dominant hybrid, along with heavy effects that relax the body while leaving the mind functional and clear.",Jesus-Og,"Depression,Stress,Lack of Appetite,Inflammation",
Jet-Fuel,hybrid,4.6,"Uplifted,Relaxed,Euphoric,Focused","Diesel,Pungent,Earthy","Jet Fuel, also known as G6, from 303 Seeds is the ultimate cross of some of the most renowned Diesel strains. By combining Aspen OG with High Country Diesel, we are left with a sativa-driven hybrid that stays true to the influence of SFV OG Kush and East Coast Sour Diesel in its lineage. The name Jet Fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation.",Jet-Fuel,"Depression,Stress,Fatigue,Inflammation",
Kali-Mist,sativa,4.1,"Energetic,Focused,Uplifted,Euphoric,Creative","Woody,Earthy,Citrus","Kali Mist is known to deliver clear-headed, energetic effects that can verge on psychedelic at times. Despite having an unknown genetic history, Kali Mist is believed to have originated in the 1990s through crossing two sativa-dominant hybrids. This lightweight sativa is a perfect choice for consumers looking to maintain focus and productivity throughout their day.",Kali-Mist,"Stress,Headaches,Inflammation,Depression",
Key-Lime-Pie,hybrid,4.5,"Euphoric,Relaxed,Uplifted,Sleepy,Creative","Lime,Sweet,Citrus","Key Lime Pie from Burning Bush Nurseries is a gourmet phenotype of the superstar strain Girl Scout Cookies. Selected for its strong indica characteristics and heavy resin production, this dynamic hybrid boasts flavors of lime candy, mint, and spice that spark flavors of earth and chocolate when activated by heat. The buds of Key Lime Pie regularly show traces of purple hues due to the plant’s affinity towards colder temperatures. The bold indica influence produces relaxing body effects that help to relieve chronic pain and insomnia, but have been known to overwhelm those less familiar with cannabis.",Key-Lime-Pie,"Stress,Depression,Insomnia,Muscle Spasms",
King-Louis,indica,4.6,"Relaxed,Sleepy,Euphoric,Hungry","Earthy,Woody,Pine","King Louis XIII might be most famous for making wigs on men de rigeur for the French aristocracy, but in Southern California the name will bring to mind a popular indica-dominant strain. This strain announces itself as many people did in the 1600s: by its smell. The difference is this monarch’s odor is one that’s meant to be enjoyed; its dense nugs have an overwhelmingly piney smell with an earthy musk that will have you thinking of your last forest adventure. Bred in part from OG Kush, Louis XIII has a very similar spicy kush aroma. Good for insomnia, this strain often tests at over 20% THC.",King-Louis,"Stress,Insomnia,Depression,Muscle Spasms",
Kryptonite,indica,4.3,"Relaxed,Euphoric,Creative","Flowery,Tropical,Sweet","A mysterious clone-only hybrid, Kryptonite is rumored to be a cross between Mendocino Purps and Killer Queen created by breeders at the Bay Area’s famed Oaksterdam University. Known to produce THC levels up to of 25%, this indica-dominant strain is a good choice for those seeking to treat serious pain without the extreme sleepiness associated with some pure indicas. Kryptonite features a musty tropical fruit smell and a sweet, sugary flavor reminiscent of Cinderella 99, one of the parent strains to Killer Queen.",Kryptonite,"Stress,Depression,Insomnia,Fatigue",
Laughing-Buddha,sativa,4.4,"Euphoric,Uplifted,Energetic","Tropical,Sweet,Spicy/Herbal","Laughing Buddha is an award-winning sativa (2003 High Times Cannabis Cup) from Barney's Farm that grows fast and tall. An earthy cross between Thai and Jamaican strains with a sweet, fruity smell that is broken up by hints of spice and provides a rich pungent smoke that will leave consumers feeling happy, upbeat, and will leave them giggling even when battling depression. The oversized colas often need pruning and extra support, but the added work pays off come harvest time when full, frosty buds cover almost the entire plant.",Laughing-Buddha,"Stress,Depression,Fatigue,Lack of Appetite,Insomnia",
Lemon-Kush,hybrid,4.1,"Relaxed,Euphoric,Uplifted,Energetic","Lemon,Citrus,Earthy","The general consensus surrounding Lemon Kush is that is a cross between Master Kush and Lemon Joy. However, breeder specific variations exist. Alien Genetics, for example, explains their Lemon Kush as a hybrid between Lemon G, a prized strain from Ohio, and an Afghan Kush. The genetics are the only area of dispute as everyone will agree that the sweet flavors of lemon and citrus mix exceptionally well with the earthy kush undertones. The light green buds are covered in a white frosting of trichomes and provide uplifting and creative effects. Lemon Kush is the perfect solution for when the stresses of life have you feeling sour.",Lemon-Kush,"Stress,Depression,Insomnia",
Lemon-Skunk,hybrid,4.3,"Uplifted,Relaxed,Euphoric,Focused","Lemon,Skunk,Citrus","Lemon Skunk was conceived from two separate Skunk phenotypes that displayed exceptionally zesty lemon traits. The skunky, citrus flavor draws you in immediately, and the happy, energetic buzz will shake you out of any funk. DNA Genetics has developed Lemon Skunk as great strain for combating depression and stress.",Lemon-Skunk,"Stress,Depression,Lack of Appetite,Headaches",
Lifesaver,hybrid,4.5,"Relaxed,Euphoric,Energetic,Uplifted","Citrus,Sweet,Berry","When it comes to both its candy-like taste and ability to knock out chronic pain, Lifesaver definitely lives up to its name. This indica-dominant cross of the breeder strains BOG Bubble and Subcool JCB was created to meet the special demands of pain sufferers. Relaxing with a grape and bubble gum aroma, this strain is worth a try for those looking for a stronger, medicated feeling. Lifesaver flowers quickly, usually within 8 weeks.",Lifesaver,"Stress,Muscle Spasms,Inflammation,Spasticity",
Mai-Tai-Cookies,hybrid,4.9,"Relaxed,Euphoric,Creative,Uplifted","Orange,Tree,Fruit,Spicy/Herbal","Mai Tai Cookies is a CBD-rich hybrid strain bred by Terraform Genetics, who crossed Alien Orange Cookies and ACDC.  She took 1st place for “Best CBD Flower” at the 2016 High Times Cannabis Cup in Los Angeles. This hybrid is very frosty compared to most CBD strains and has a unique aroma of cherries and orange peels.  With a high that is very relaxing and yet functional, patients would typically choose this strain for pain and anxiety. Her flowers have a dense structure similar to that of Girl Scout Cookies and are ready for harvest after a flowering cycle of 50-55 days. This wonderful strain won 1st Place for Best CBD Flower at the 2016 High Times Cannabis Cup in Los Angeles and 2nd Place for Best CBD Concentrate at the 2016 High Times Concentrate Cup.",Mai-Tai-Cookies,"Stress,Depression,Insomnia,Fatigue, ",
Master-Kush,indica,4.3,"Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Pungent,Woody","Master Kush is a popular indica cross created out of two landrace strains from different parts of the Hindu Kush region. Master Kush is bred by the Dutch White Label Seed Company, located in Amsterdam. During maturation the plant produces a subtle earthy, citrus smell with a hint of incense, which is often described as a vintage flavor. The taste of Master Kush is reminiscent of the famous hard-rubbed charas hash. This strain holds a superb balance of full-body relaxation without the mind-numbing effect that many indica strains produce. Instead, Master Kush offers a sharpened sensory awareness that can bring out the best of any activity.",Master-Kush,"Stress,Depression,Insomnia,Lack of Appetite ",
Master-Yoda,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Focused","Pungent,Sweet,Earthy","With lab-tested THC levels that reach over 20%, strong medicine, Master Yoda is. This strain, however, is not about brute “Force,” as the original Master Yoda would know, and the sativa side of this mostly indica buzz has just enough of an uplifting balance to please just about anyone. Master Yoda clinched 1st Place at High Times Los Angeles Cannabis Cup in 2012, where the OG Kush and Master Kush cross was already a local favorite. Growers also like this strain for its hybrid resilience and its 8 week flowering time.",Master-Yoda,"Lack of Appetite,Muscle Spasms,Stress,Depression,Insomnia",
Maui-Wowie,sativa,4.4,"Euphoric,Uplifted,Energetic,Relaxed,Creative","Tropical,Pineapple,Citrus","Maui Wowie (not Maui Waui) is a classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain was originally born and raised. Since its beginnings in the island’s volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight sativa effects allow your mind to drift away to creative escapes, while Maui Wowie’s motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growth.  ",Maui-Wowie,"Stress,Depression,Fatigue,Headaches",
Monster-Cookies,indica,4.6,"Relaxed,Sleepy,Euphoric,Hungry","Earthy,Grape,Pine","Monster Cookies is an 80% indica cross between Girl Scout Cookies and Granddaddy Purple that delivers a jarring dose of euphoria and relaxation. Its aroma is dominated by earthy notes, enriched by a grape and berry scent passed on by Granddaddy Purple. Hues of purple and green weave together under a silver blanket of crystal trichomes, colors that continue to darken with maturation. Calming sedation wells up over time, making this strain ideal for late night use.",Monster-Cookies,"Stress,Depression,Insomnia,Lack of Appetite,Headaches",
Nyc-Diesel,hybrid,4.2,"Uplifted,Relaxed,Energetic,Euphoric","Diesel,Earthy,Pungent","Bred by Soma Sacred Seeds, NYC Diesel (or Soma Sour Diesel) is a 60% sativa-dominant cross between Mexican and Afghani landraces. This strain provides strong cerebral effects that ease into a deep, full-body relaxation over time. A pungent lime and grapefruit aroma is the mark of a high quality batch, like those that won this strain five Cannabis Cup trophies in the early 2000s. NYC Diesel’s happy, talkative qualities make this hybrid a good choice for social activities and many anxiety-prone consumers praise it for its paranoia-free effects.",Nyc-Diesel,"Stress,Depression,Fatigue,Headaches",
Northern-Lights,indica,4.4,"Relaxed,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pine","Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds.Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lights’ psychoactive effects settle in firmly throughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplessness, while its mellow contentment roots out depression and stress. Several different Northern Lights phenotypes circulate the market, but Sensi Seeds recommends a general indoor flowering time of 45 to 50 days.",Northern-Lights,"Stress,Insomnia,Depression,Nausea",
Og-18,hybrid,4.6,"Relaxed,Sleepy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors.",Og-18,"Stress,Depression,Insomnia,Muscle Spasms",
Og-Kush,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Sleepy","Earthy,Pine,Woody","OG Kush makes up the genetic backbone of West Coast cannabis varieties, but in spite of its ubiquity, its genetic origins remain a mystery. Popular myth maintains that Chemdawg and Hindu Kush parented OG Kush, passing on the distinct “kush” bud structure we see in many strains today. However, we can’t be sure because OG Kush first came from bag seed in the early 90s. The earliest propagators (now known as Imperial Genetics) are said to have brought the seeds out of Florida to Colorado and southern California, where it now flourishes. There are many different phenotypes of OG Kush, some of which include Tahoe OG, SFV OG, and Alpha OG. OG Kush is cherished for its ability to crush stress under the weight of its heavy euphoria. It carries an earthy pine and sour lemon scent with woody undertones, an aroma that has become the signature of OG Kush varieties and descendants. With OG Kush, patients most commonly cite improvements in migraines, ADD/ADHD, and stress disorders.",Og-Kush,"Stress,Depression,Insomnia,Lack of Appetite",
Orange-Cookies,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative","Citrus,Orange,Sweet","Orange Cookies bred by Franchise Genetics is a hybrid that combines Orange Juice with the renowned Girl Scout Cookies. A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed. ",Orange-Cookies,"Stress,Depression,Lack of Appetite,Fatigue",
Paris-Og,indica,4.6,"Relaxed,Sleepy,Euphoric,Uplifted","Earthy,Lemon,Pine","Paris OG is an indica-dominant strain with calming effects that promote rest and relaxation. Rumor has it that Paris OG descends from Headband and Lemon OG, who together pass on a sweet blend of fruity, citrus flavors. With victories in multiple competitions including 1st place in the 2014 Michigan High Times' Cannabis Cup, Paris OG has undoubtedly secured itself a long-lasting reputation in the cannabis world.",Paris-Og,"Stress,Inflammation,Insomnia,Depression",
Pineapple,hybrid,4.2,"Uplifted,Euphoric,Relaxed,Energetic","Pineapple,Tropical,Sweet","Pineapple was developed by selecting a phenotype of Ed Rosenthal’s Super Bud (ERSB) that expressed predominantly indica traits and had intense tropical flavors. After generations of inbreeding, the strain developed a sturdy structure and more pronounced flavors of pineapple and diesel. The buds take on a bulbous shape that, in a way, resemble the fruit. A perfect strain for stress relief, Pineapple will transport you to your happy place, leaving you uplifted and relaxed.",Pineapple,"Stress,Depression,Fatigue,Headaches",
Pineapple-Cookies,hybrid,4,"Energetic,Euphoric,Uplifted","Pineapple,Sweet,Flowery","Pineapple Cookies by Calyx Gardens is an introspective Platinum Girl Scout Cookies cross with flavor to spare. It was created by breeding the Calyx Garden Pineapple OG Kush father (Poison OG x Purple Pineapple) with the long-lasting body-melter Platinum GSC. Relaxation and happiness creep across the body, gradually dissolving stress and depression as the consumer’s mood elevates. This strain's aroma is bright and buttery, exhibiting sweet notes from both its parents.",Pineapple-Cookies,"Stress,Depression,Fatigue,Muscle Spasms",
Pineapple-Express,hybrid,4.4,"Uplifted,Euphoric,Energetic,Relaxed","Pineapple,Sweet,Tropical","Pineapple Express combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting sativa-dominant hybrid provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.",Pineapple-Express,"Stress,Depression,Fatigue,Lack of Appetite",
Platinum-Bubba-Kush,indica,4.5,"Euphoric,Relaxed,Sleepy,Uplifted","Earthy,Flowery,Woody","Platinum Bubba Kush is a “platinum” level indica-dominant strain for those who are looking for strong medicine. Best for strong body relaxation, pain relief, sleepiness and appetite stimulation, Pbk is a long-lasting “creeper” that may take a few minutes to kick in, but you won’t miss it once it does. Floral and full of kush spiciness in aroma, the flowers of this strain will have a surprisingly sweet flavor that’s a patient favorite. Across between Platinum OG Kush and Bubba Kush, this indica finishes flowering in 8 to 9 weeks. These dense, purple-hued nugs are popular in California and are finding their way to other areas.",Platinum-Bubba-Kush,"Stress,Insomnia,Depression,Headaches",
Platinum-Gsc,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Hungry","Sweet,Earthy,Pungent","If you thought GSC couldn’t get any better, then behold its next evolution, Platinum GSC, formerly known as Platinum Girl Scout Cookies. This Cup-winning hybrid -- a cross of OG Kush, Durban Poison, and a third unknown strain -- fills your nose and lungs with sweet notes of berry and candy, followed by a fruity spiciness. Patients with severe pain, nausea, swelling, migraines, and stress should look no further for relief as symptoms both physical and mood-related melt away instantly. The Platinum GSC strain flaunts a heavy coat of crystal trichomes over its sage green leaves, assuring its potency to any consumer in doubt. ",Platinum-Gsc,"Stress,Depression,Headaches,Lack of Appetite",
Platinum-Og,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry","Earthy,Pine,Pungent","Platinum OG is just as precious as the metal it’s named after. With a THC content regularly topping 20%, this indica-dominant hybrid asserts itself as one of the “heaviest” strains around. Platinum OG is purported to stem from three strains: Master Kush, OG Kush, and a third unknown parent. Flowers are lime green and plump, with prominent orange hairs and a platinum coating thanks to the abundance of THC crystals. A brief, heady onset settles into a powerful physical sedation suitable for nighttime use and pain, stress, or anxiety relief, making this precious strain a robust healer.",Platinum-Og,"Stress,Insomnia,Depression,Muscle Spasms",
Presidential-Og,indica,4.5,"Relaxed,Sleepy,Euphoric","Earthy,Citrus,Woody","Presidential OG (also called Presidential Kush) by Royal Queen Seeds is an indica cross between Bubble Gum and OG Kush that definitely knows how to get your attention with its intense citrus-pine smell. As far as taste goes, it maintains the pine flavor and heads into more earthy terrain. Almost purely indica, this strain hits hard and fast with a sedative effect that make this a popular choice for those dealing with insomnia or stress. ",Presidential-Og,"Stress,Insomnia,Depression,Headaches",
Purple-Animal-Cookies,hybrid,0,"Euphoric,Relaxed",Grape,"Purple Animal Cookies by CannaVenture Seeds is an indica-dominant cross with beautiful coloration and potent effects. The strain was bred by crossing Animal Cookies with LVPK, and is generally a Cookie-dominant cross of these genetics. This leads to a sweet, earthy aroma and happy, relaxing effects that intensify with continued consumption. It has an average flowering time of 9 to 10 weeks, and offers a fair yield to attentive growers. Purple Animal Cookies’ happy, sedating buzz makes it an ideal fit for the end of the workday.",Purple-Animal-Cookies,"Stress,Muscle Spasms,Lack of Appetite",
Purple-Diesel,hybrid,4.2,"Relaxed,Uplifted,Euphoric,Energetic,Focused","Sweet,Berry,Diesel","Purple Diesel, bred by Cali Connection, is a wonder among hybrid strains. While most of the effects are similar to traditional sativas (energizing, uplifting, focused), Purple D is also an exceptional strain for pain relief. A sneaky cross between Pre-98 Bubba Kush and Sour Diesel, this strain takes a while to fully kick in. However, once the effects begin to present themselves, users are struck by a type of giggly, euphoric bliss. A favorite among daytime users, Purple Diesel features a sour, fuel-like aroma. For those interested in growing, this strain has an early flowering time of around 8 weeks and features dense buds with deep purple leaves.",Purple-Diesel,"Depression,Stress,Headaches,Fatigue",
Purple-Punch,indica,4.6,"Relaxed,Sleepy,Euphoric,Uplifted","Berry,Sweet,Grape","Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects are preferred for managing nausea, stress, minor body aches, and sleeplessness.",Purple-Punch,"Stress,Insomnia,Depression,Headaches",
Purple-Tangie,sativa,4.5,"Euphoric,Energetic,Relaxed,Creative","Citrus,Orange,Tropical","A spin on the citrus-loaded Tangie sativa, Purple Tangie is a flavorful strain that invigorates the spirit with uplifting euphoria. In a show of its quality, Purple Tangie took 1st place in the “Best Medical Sativa Concentrate” category at the 2016 High Times Cannabis Cup in Los Angeles. You may find that Purple Tangie offers an energetic kick to your social skills, but this strain can certainly be enjoyed in isolation, especially when you’re occupied by creative projects.",Purple-Tangie,"Depression,Stress,Headaches,Nausea ",
Purple-Urkle,indica,4.4,"Relaxed,Sleepy,Euphoric,Uplifted","Grape,Sweet,Berry","Purple Urkle’s history is as complex as its flavor palate. A California strain, the origins are believed to stem from a select phenotype of Mendocino Purps, while the essence is a blend of skunk, berry, and fresh grapes. Consumers report the indica effects to be deeply relaxing, sleep-inducing, and a great option for full-body pain relief. The short onset of effects make it a perfect nighttime strain for those who suffer from insomnia.",Purple-Urkle,"Insomnia,Stress,Depression,Muscle Spasms",
Raskal-Og,hybrid,4.1,"Euphoric,Uplifted","Lemon,Earthy,Pungent","With parents OG Kush and SFV OG Kush, Raskal OG smells of lemon and pine with a musty and grassy taste. Bred by Cali Connection, the THC levels range up to 17% and the CBD is up to 0.86%. With dense light and dark green colored buds, this sticky strain is soft when broken apart.",Raskal-Og,"Depression,Stress,Insomnia,Lack of Appetite",
Romulan-Grapefruit,hybrid,4.3,"Relaxed,Euphoric,Sleepy","Grapefruit,Citrus,Sweet","Top quality hybrid, amazingly strong scent. Grows like the Grapefruit in size and stature but has a bigger punch and stronger smell due to the Romulan influence.",Romulan-Grapefruit,"Inflammation,Stress,epression,Nausea",
Royal-Kush,hybrid,4.2,"Relaxed,Sleepy,Euphoric,Hungry","Woody,Earthy,Skunk","Royal Kush by G13 Labs is a king among hybrids, delivering powerful trance-like effects with an earthy, skunky aroma. This balanced hybrid descends from the renowned line of Afghani and Skunk #1, two strains that have gained legendary status among cannabis breeders. Royal Kush’s happy, euphoric relaxation branches out in full-body effects that later ease into deep restfulness conducive for sleep. Patients treating stress, pain, and nausea can benefit from Royal Kush’s potent relief, but less seasoned consumers should take caution with this hard-hitter. This strain has a unique coverage of white pistil hairs, and growers are recommended an 8 to 13 week flowering time for their indoor Royal Kush plants.",Royal-Kush,"Insomnia,Stress,Muscle Spasms,Depression",
Sfv-Og,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Focused","Earthy,Pine,Pungent","SFV OG by Cali Connection is a sativa-dominant hybrid that is great for patients who need strong pain relief but don’t want to be stuck on the couch. As the name indicates, this OG Kush relative originates from California’s San Fernando Valley. Although their names are barely distinguishable, SFV OG Kush is actually the Afghani-crossed child to SFV OG. The flowers will stay fairly small and may not look super impressive, but what it lacks in looks it makes up for in smell. The pine and lemon earthiness that SFV exudes can be a bit harsh and bitter if smoked, so this strain is one to save for the vaporizer if consuming directly. Its indica body effects take a little longer to feel than the initial head haziness, but once they do, everything will feel fine.",Sfv-Og,"Stress,Depression,Headaches,Insomnia",
Sour-Apple,hybrid,4.2,"Relaxed,Euphoric,Uplifted,Sleepy","Apple,Sweet,Pungent","Expect to pucker up, because this strain will send your tastebuds a-tinglin’. Bright green in color with a distinct sour apple candy aroma, Sour Apple lives up to its name. You won’t get a sugar rush from this strain, however, but it may leave you stuck on the couch. This indica-dominant hybrid is good for after work or on a lazy afternoon. A cross between Sour Diesel and Cinderella 99, Sour Apple at its best is extremely potent and full-bodied. Try this strain if you’re looking to relax and ease stress.",Sour-Apple,"Stress,Depression,Insomnia,Headaches",
